Object: Building5b__3_ (1), Position: (-670.38, 56.10, 123.20), Size: (47.08, 98.52, 64.39)
Object: Building7a (2), Position: (-80.34, 111.35, 264.27), Size: (67.24, 209.02, 144.59)
Object: Building7b (1), Position: (-98.45, 43.19, 557.70), Size: (40.72, 72.70, 65.73)
Object: Building8b (3), Position: (-82.04, 68.06, -410.25), Size: (81.44, 122.40, 130.55)
Object: Far_building1a__3_ (1), Position: (-682.17, 124.61, -100.10), Size: (64.78, 235.45, 81.91)
Object: Building7b (1), Position: (-98.45, 43.19, -916.60), Size: (40.72, 72.70, 68.10)
Object: Building8b (2), Position: (156.18, 68.06, -274.79), Size: (81.44, 122.40, 139.79)
Object: Building6a__3_ (1), Position: (743.29, 75.74, -132.42), Size: (54.71, 137.79, 57.63)
Object: Building7b (1), Position: (174.45, 43.19, -568.50), Size: (40.72, 72.70, 65.33)
Object: Building12a (2), Position: (68.27, 163.59, 815.11), Size: (88.09, 317.24, 120.08)
Object: Building10a__1_ (1), Position: (753.76, 35.10, 86.98), Size: (63.41, 57.71, 86.94)
Object: Building6a__3_ (1), Position: (511.43, 75.14, 783.02), Size: (75.17, 137.79, 75.02)
Object: Building7b (1), Position: (174.45, 42.60, 906.00), Size: (40.72, 72.70, 68.34)
Object: Building8b (2), Position: (156.18, 67.45, 400.57), Size: (81.44, 122.40, 132.19)
Object: Tree 03 (30), Position: (623.30, 26.57, 755.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (29), Position: (617.20, 26.57, 610.34), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (28), Position: (606.20, 26.57, 491.44), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (27), Position: (569.50, 26.57, 538.44), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (26), Position: (493.30, 26.57, 629.54), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (25), Position: (425.20, 26.57, 707.24), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (24), Position: (378.20, 26.57, 766.74), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (23), Position: (284.60, 26.57, 795.44), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (19), Position: (293.90, 26.57, 419.14), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (18), Position: (205.60, 26.57, 417.44), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (17), Position: (208.80, 26.57, 491.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (16), Position: (286.20, 26.57, 525.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (15), Position: (284.70, 26.57, 590.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (14), Position: (283.10, 26.57, 677.54), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (13), Position: (207.20, 26.57, 674.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (12), Position: (210.10, 26.57, 803.34), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (11), Position: (209.00, 26.57, 949.54), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (10), Position: (202.80, 26.57, 1173.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (9), Position: (209.70, 26.57, 1111.24), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (6), Position: (282.53, 39.57, 1265.37), Size: (40.85, 69.42, 39.76)
Object: Tree 03 (5), Position: (204.39, 27.45, 1258.57), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (4), Position: (279.98, 27.45, 1142.20), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (3), Position: (279.49, 27.45, 1007.37), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (2), Position: (302.29, 27.45, 947.47), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (1), Position: (348.52, 27.40, 906.07), Size: (26.24, 44.59, 25.54)
Object: Tree 03, Position: (397.02, 27.40, 845.87), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (30), Position: (623.40, 26.57, -716.46), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (29), Position: (617.30, 26.57, -861.76), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (28), Position: (606.30, 26.57, -980.66), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (27), Position: (569.60, 26.57, -933.66), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (26), Position: (493.40, 26.57, -842.56), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (25), Position: (425.30, 26.57, -764.86), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (24), Position: (378.30, 26.57, -705.36), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (23), Position: (284.70, 26.57, -676.66), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (22), Position: (208.70, 26.57, -1251.76), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (21), Position: (278.20, 26.57, -1222.36), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (20), Position: (208.50, 26.57, -1184.76), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (19), Position: (281.60, 26.57, -1096.96), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (18), Position: (203.00, 26.57, -1105.46), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (17), Position: (208.90, 26.57, -981.66), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (16), Position: (286.30, 26.57, -946.46), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (15), Position: (283.90, 26.57, -881.76), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (14), Position: (281.70, 26.57, -795.76), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (13), Position: (206.80, 26.57, -799.06), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (12), Position: (209.40, 26.57, -668.86), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (11), Position: (209.10, 26.57, -522.56), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (10), Position: (193.10, 26.57, -366.16), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (9), Position: (188.68, 26.57, -392.03), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (8), Position: (172.43, 39.57, -386.13), Size: (40.85, 69.42, 39.76)
Object: Tree 03 (7), Position: (186.23, 39.57, -375.63), Size: (40.85, 69.42, 39.76)
Object: Tree 03 (6), Position: (180.13, 39.57, -358.93), Size: (40.85, 69.42, 39.76)
Object: Tree 03 (5), Position: (204.29, 27.45, -353.23), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (4), Position: (293.29, 27.45, -346.53), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (3), Position: (279.59, 27.45, -464.73), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (2), Position: (302.39, 27.45, -524.63), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (1), Position: (348.62, 27.40, -566.03), Size: (26.24, 44.59, 25.54)
Object: Tree 03, Position: (397.12, 27.40, -626.23), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (30), Position: (-548.17, 26.57, -766.94), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (29), Position: (-542.07, 26.57, -621.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (28), Position: (-531.07, 26.57, -502.74), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (27), Position: (-494.37, 26.57, -549.74), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (26), Position: (-418.17, 26.57, -640.84), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (25), Position: (-350.07, 26.57, -718.54), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (24), Position: (-303.07, 26.57, -778.04), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (23), Position: (-209.47, 26.57, -806.74), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (18), Position: (-127.77, 26.57, -377.94), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (17), Position: (-133.67, 26.57, -501.74), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (16), Position: (-211.07, 26.57, -536.94), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (15), Position: (-208.67, 26.57, -601.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (14), Position: (-206.47, 26.57, -687.64), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (13), Position: (-131.57, 26.57, -684.34), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (12), Position: (-134.17, 26.57, -814.54), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (11), Position: (-133.87, 26.57, -960.84), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (4), Position: (-204.66, 27.45, -1136.87), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (3), Position: (-204.36, 27.45, -1018.67), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (2), Position: (-227.16, 27.45, -958.77), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (1), Position: (-273.39, 27.40, -917.37), Size: (26.24, 44.59, 25.54)
Object: Tree 03, Position: (-321.89, 27.40, -857.17), Size: (26.24, 44.59, 25.54)
Object: Tree 03 (30), Position: (-548.17, 26.57, 705.86), Size: (24.92, 42.35, 24.25)
Object: Tree 03 (29), Position: (-542.07, 26.57, 851.16), Size: (24.92, 42.35, 24.25)
