Object: Building12a (1), Position: (-484.71, 157.81, 209.51), Size: (133.94, 302.39, 96.73)
Object: Building10b (2), Position: (-540.58, 101.97, 33.20), Size: (66.40, 187.94, 222.83)
Object: Building7a (1), Position: (-525.18, 111.11, -185.83), Size: (92.71, 209.02, 208.65)
Object: Far_building1a__5_ (4), Position: (519.00, 162.59, 202.00), Size: (126.63, 324.78, 161.56)
Object: Far_building1a__5_ (3), Position: (519.00, 162.59, 24.00), Size: (126.63, 324.78, 187.57)
Object: Far_building1a__5_ (2), Position: (519.00, 162.59, -158.00), Size: (126.63, 324.78, 161.56)
Object: Building3b__1_, Position: (-1210.44, 96.76, -1325.76), Size: (209.98, 179.52, 110.16)
Object: Building12a, Position: (1194.99, 157.81, 994.21), Size: (133.94, 302.39, 96.73)
Object: Building6a__2_, Position: (-303.64, 75.49, -340.60), Size: (81.46, 137.79, 70.60)
Object: Building9b, Position: (570.55, 105.18, 626.09), Size: (88.33, 197.10, 72.69)
Object: Building3b, Position: (-981.83, 96.18, 323.27), Size: (132.12, 179.52, 69.04)
Object: Building4a__5_, Position: (-56.42, 96.42, -870.02), Size: (57.93, 192.83, 92.24)
Object: Building12b, Position: (-570.01, 118.06, 807.22), Size: (234.44, 222.88, 289.91)
Object: Building10b (1), Position: (-1507.58, 101.97, 1152.00), Size: (66.40, 187.94, 222.83)
Object: Building4a__1_, Position: (-407.33, 72.36, -653.79), Size: (67.36, 131.90, 56.47)
Object: Far_building1a__5_ (1), Position: (1513.00, 162.59, -970.00), Size: (98.84, 324.78, 128.04)
Object: Building10b, Position: (-414.00, 101.97, -1034.42), Size: (222.83, 187.94, 66.40)
Object: Building12b, Position: (1020.00, 118.06, 818.00), Size: (250.49, 222.88, 279.90)
Object: Building6a__2_, Position: (303.64, 75.49, 340.60), Size: (81.46, 137.79, 70.60)
Object: Building2b__1_ (1), Position: (-1485.00, 61.39, 339.00), Size: (34.16, 110.78, 136.57)
Object: Far_building1b__1_, Position: (-51.00, 143.80, 958.00), Size: (85.47, 274.32, 145.24)
Object: Far_building1b__1_, Position: (-1517.00, 143.80, -968.00), Size: (85.47, 274.32, 145.24)
